Conference,TopicID,Word,Month,Probability
tourism,2,buddy,Oct,0.04499319
tourism,2,buddy,Nov,0.036607582
tourism,2,buddy,Dec,0.041817997
tourism,2,motivate,Jan,0.0055093654
tourism,2,motivate,Feb,0.0
tourism,2,motivate,Mar,0.0
tourism,2,motivate,Apr,0.0
tourism,2,motivate,May,0.0
tourism,2,motivate,Jun,0.0
tourism,2,motivate,Jul,0.006407679
tourism,2,motivate,Aug,0.0
tourism,2,motivate,Sep,0.0
tourism,2,motivate,Oct,0.0
tourism,2,motivate,Nov,0.0
tourism,2,motivate,Dec,0.0
tourism,2,ciudades,Jan,0.03338078
tourism,2,ciudades,Feb,0.01310213
tourism,2,ciudades,Mar,0.02197667
tourism,2,ciudades,Apr,0.018380934
tourism,2,ciudades,May,0.033376973
tourism,2,ciudades,Jun,0.034701962
tourism,2,ciudades,Jul,0.027659746
tourism,2,ciudades,Aug,0.02815799
tourism,2,ciudades,Sep,0.015262312
tourism,2,ciudades,Oct,0.029276522
tourism,2,ciudades,Nov,0.029287308
tourism,2,ciudades,Dec,0.029335648
tourism,2,shout,Jan,0.0
tourism,2,shout,Feb,0.0
tourism,2,shout,Mar,0.0
tourism,2,shout,Apr,0.0
tourism,2,shout,May,0.0
tourism,2,shout,Jun,0.0
tourism,2,shout,Jul,0.0
tourism,2,shout,Aug,0.0
tourism,2,shout,Sep,0.0
tourism,2,shout,Oct,0.0
tourism,2,shout,Nov,0.0
tourism,2,shout,Dec,0.012617137
tourism,2,attractions,Jan,0.005743138
tourism,2,attractions,Feb,0.0
tourism,2,attractions,Mar,0.0
tourism,2,attractions,Apr,0.0
tourism,2,attractions,May,0.0
tourism,2,attractions,Jun,0.0
tourism,2,attractions,Jul,0.0
tourism,2,attractions,Aug,0.0
tourism,2,attractions,Sep,0.0
tourism,2,attractions,Oct,0.0
tourism,2,attractions,Nov,0.0
tourism,2,attractions,Dec,0.0
tourism,2,lovely,Jan,0.0
tourism,2,lovely,Feb,0.0067466726
tourism,2,lovely,Mar,0.0
tourism,2,lovely,Apr,0.0
tourism,2,lovely,May,0.0
tourism,2,lovely,Jun,0.0
tourism,2,lovely,Jul,0.0
tourism,2,lovely,Aug,0.0
tourism,2,lovely,Sep,0.0
tourism,2,lovely,Oct,0.0
tourism,2,lovely,Nov,0.0
tourism,2,lovely,Dec,0.0
tourism,2,venezuela,Jan,0.005165323
tourism,2,venezuela,Feb,0.0070249196
tourism,2,venezuela,Mar,0.0
tourism,2,venezuela,Apr,0.0
tourism,2,venezuela,May,0.0
tourism,2,venezuela,Jun,0.0
tourism,2,venezuela,Jul,0.0
tourism,2,venezuela,Aug,0.0
tourism,2,venezuela,Sep,0.0
tourism,2,venezuela,Oct,0.00612952
tourism,2,venezuela,Nov,0.0
tourism,2,venezuela,Dec,0.0
tourism,2,worth,Jan,0.0
tourism,2,worth,Feb,0.0
tourism,2,worth,Mar,0.0
tourism,2,worth,Apr,0.0063032224
tourism,2,worth,May,0.0
tourism,2,worth,Jun,0.0
tourism,2,worth,Jul,0.0
tourism,2,worth,Aug,0.0
tourism,2,worth,Sep,0.0
tourism,2,worth,Oct,0.0
tourism,2,worth,Nov,0.0
tourism,2,worth,Dec,0.0
tourism,2,daughters,Jan,0.0
tourism,2,daughters,Feb,0.0
tourism,2,daughters,Mar,0.0054620565
tourism,2,daughters,Apr,0.0
tourism,2,daughters,May,0.0
tourism,2,daughters,Jun,0.0
tourism,2,daughters,Jul,0.0
tourism,2,daughters,Aug,0.0068417834
